time,blink_count,ear,fatigue_score,stress_score
2026-03-15 22:17:08,21,0.154,100,14
2026-03-15 22:17:08,21,0.154,100,14
2026-03-15 22:17:08,21,0.147,100,14
2026-03-15 22:17:08,21,0.146,100,14
2026-03-15 22:17:08,21,0.19,100,14
2026-03-15 22:17:08,21,0.183,100,14
2026-03-15 22:17:08,21,0.155,100,14
2026-03-15 22:17:08,21,0.185,100,14
2026-03-15 22:17:08,21,0.147,100,15
2026-03-15 22:17:08,21,0.184,100,15
2026-03-15 22:17:08,21,0.176,100,15
2026-03-15 22:17:08,21,0.167,100,15
2026-03-15 22:17:08,21,0.172,100,15
2026-03-15 22:17:08,21,0.175,100,15
2026-03-15 22:17:08,21,0.178,100,15
2026-03-15 22:17:08,21,0.183,100,15
2026-03-15 22:17:08,21,0.167,100,15
2026-03-15 22:17:08,21,0.167,100,15
2026-03-15 22:17:08,21,0.17,100,15
2026-03-15 22:17:08,21,0.167,100,15
2026-03-15 22:17:09,21,0.17,100,16
2026-03-15 22:17:09,21,0.178,100,16
2026-03-15 22:17:09,21,0.176,100,16
2026-03-15 22:17:09,21,0.178,100,16
2026-03-15 22:17:09,21,0.163,100,16
2026-03-15 22:17:09,21,0.171,100,16
2026-03-15 22:17:09,21,0.171,100,16
2026-03-15 22:17:09,21,0.169,100,16
2026-03-15 22:17:09,21,0.172,100,16
2026-03-15 22:17:09,21,0.174,100,16
2026-03-15 22:17:09,21,0.178,100,17
2026-03-15 22:17:09,21,0.175,100,17
2026-03-15 22:17:09,21,0.166,100,17
2026-03-15 22:17:09,21,0.169,100,17
2026-03-15 22:17:09,21,0.175,100,17
2026-03-15 22:17:09,21,0.163,100,17
2026-03-15 22:17:09,21,0.164,100,17
2026-03-15 22:17:09,21,0.18,100,17
2026-03-15 22:17:09,21,0.181,100,17
2026-03-15 22:17:09,21,0.179,100,17
2026-03-15 22:17:09,21,0.169,100,18
2026-03-15 22:17:09,21,0.159,100,18
2026-03-15 22:17:09,21,0.166,100,18
2026-03-15 22:17:09,21,0.17,100,18
2026-03-15 22:17:09,21,0.171,100,18
2026-03-15 22:17:09,21,0.188,100,18
2026-03-15 22:17:09,21,0.179,100,18
2026-03-15 22:17:09,21,0.178,100,18
2026-03-15 22:17:09,21,0.182,100,18
2026-03-15 22:17:09,21,0.18,100,18
2026-03-15 22:17:09,21,0.181,100,18
2026-03-15 22:17:09,21,0.181,100,18
2026-03-15 22:17:10,21,0.171,100,19
2026-03-15 22:17:10,21,0.173,100,19
2026-03-15 22:17:10,21,0.164,100,19
2026-03-15 22:17:10,21,0.176,100,19
2026-03-15 22:17:10,21,0.176,100,19
2026-03-15 22:17:10,21,0.176,100,19
2026-03-15 22:17:10,21,0.167,100,19
2026-03-15 22:17:10,21,0.167,100,19
2026-03-15 22:17:10,21,0.168,100,19
2026-03-15 22:17:10,21,0.184,100,19
2026-03-15 22:17:10,21,0.184,100,19
2026-03-15 22:17:10,21,0.184,100,19
2026-03-15 22:17:10,21,0.108,100,20
2026-03-15 22:17:10,21,0.101,100,20
2026-03-15 22:17:10,21,0.099,100,20
2026-03-15 22:17:10,21,0.101,100,20
2026-03-15 22:17:10,21,0.144,100,20
2026-03-15 22:17:10,21,0.144,100,20
2026-03-15 22:17:10,21,0.144,100,20
2026-03-15 22:17:10,21,0.144,100,20
2026-03-15 22:17:10,21,0.162,100,20
2026-03-15 22:17:10,21,0.162,100,20
2026-03-15 22:17:10,21,0.164,100,20
2026-03-15 22:17:10,21,0.165,100,20
2026-03-15 22:17:10,21,0.18,100,21
2026-03-15 22:17:10,21,0.176,100,21
2026-03-15 22:17:10,21,0.178,100,21
2026-03-15 22:17:10,21,0.175,100,21
2026-03-15 22:17:11,21,0.186,100,21
2026-03-15 22:17:11,21,0.183,100,21
2026-03-15 22:17:11,21,0.186,100,21
2026-03-15 22:17:11,21,0.182,100,21
2026-03-15 22:17:11,21,0.192,100,21
2026-03-15 22:17:11,21,0.191,100,21
2026-03-15 22:17:11,21,0.191,100,21
2026-03-15 22:17:11,21,0.191,100,21
2026-03-15 22:17:11,21,0.203,100,22
2026-03-15 22:17:11,21,0.184,100,22
2026-03-15 22:17:11,21,0.195,100,22
2026-03-15 22:17:11,21,0.192,100,22
2026-03-15 22:17:11,21,0.206,100,22
2026-03-15 22:17:11,21,0.192,100,22
2026-03-15 22:17:11,21,0.207,100,22
2026-03-15 22:17:11,21,0.192,100,22
2026-03-15 22:17:11,21,0.198,100,22
2026-03-15 22:17:11,21,0.194,100,22
2026-03-15 22:17:11,21,0.192,100,22
2026-03-15 22:17:11,21,0.192,100,22
2026-03-15 22:17:11,21,0.191,100,23
2026-03-15 22:17:11,21,0.191,100,23
2026-03-15 22:17:11,21,0.191,100,23
2026-03-15 22:17:11,21,0.194,100,23
2026-03-15 22:17:11,21,0.208,100,23
2026-03-15 22:17:11,21,0.202,100,23
2026-03-15 22:17:11,21,0.205,100,23
2026-03-15 22:17:11,21,0.208,100,23
2026-03-15 22:17:11,21,0.193,100,23
2026-03-15 22:17:11,21,0.194,100,23
2026-03-15 22:17:11,21,0.194,100,23
2026-03-15 22:17:11,21,0.191,100,23
2026-03-15 22:17:12,21,0.199,100,23
2026-03-15 22:17:12,21,0.184,100,24
2026-03-15 22:17:12,21,0.175,100,24
2026-03-15 22:17:12,21,0.185,100,24
2026-03-15 22:17:12,21,0.179,100,24
2026-03-15 22:17:12,21,0.184,100,24
2026-03-15 22:17:12,21,0.175,100,24
2026-03-15 22:17:12,21,0.172,100,24
2026-03-15 22:17:12,21,0.157,100,24
2026-03-15 22:17:12,21,0.158,100,24
2026-03-15 22:17:12,21,0.151,100,24
2026-03-15 22:17:12,21,0.158,100,24
2026-03-15 22:17:12,21,0.103,100,24
2026-03-15 22:17:12,21,0.129,100,24
2026-03-15 22:17:12,21,0.11,100,24
2026-03-15 22:17:12,21,0.121,100,25
2026-03-15 22:17:12,21,0.178,100,25
2026-03-15 22:17:12,21,0.166,100,25
